"DISTRICT","BOROUGH","SMALL PS # BLDGS","SMALL PS # SEATS","SMALL PS COST","PS/IS # BLDGS","PS/IS # SEATS","PS/IS COST","IS/HS # BLDGS","IS/HS # SEATS","IS/HS COST"
"1","MANHATTAN","0","0","0.00","0","0","0.00","0","0","0.00"
"2*","MANHATTAN","3","1,368","71.53","2","1,782","145.41","0","0","0.00"
"3","MANHATTAN","0","0","0.00","1","692","106.78","0","0","0.00"
"4","MANHATTAN","0","0","0.00","0","0","0.00","0","0","0.00"
"5","MANHATTAN","1","245","20.00","0","0","0.00","0","0","0.00"
"6","MANHATTAN","0","0","0.00","0","0","0.00","0","0","0.00"
"MHS","MANHATTAN","0","0","0.00","0","0","0.00","0","0","0.00"
"7","BRONX","1","456","2.82","0","0","0.00","0","0","0.00"
"8","BRONX","1","344","70.81","0","0","0.00","0","0","0.00"
"9","BRONX","0","0","0.00","0","0","0.00","0","0","0.00"
"10*","BRONX","5","2,124","289.00","1","824","4.70","0","0","0.00"
"11","BRONX","1","548","85.03","0","0","0.00","0","0","0.00"
"12*","BRONX","2","912","46.80","0","0","0.00","0","0","0.00"
"XHS","BRONX","0","0","0.00","0","0","0.00","0","0","0.00"
"13*","BROOKLYN","1","332","40.63","4","2,261","182.02","0","0","0.00"
"14*","BROOKLYN","1","379","3.55","1","612","2.16","0","0","0.00"
"15*","BROOKLYN","9","2,901","395.79","2","1,024","29.66","0","0","0.00"
"16","BROOKLYN","0","0","0.00","0","0","0.00","0","0","0.00"
"17","BROOKLYN","0","0","0.00","0","0","0.00","0","0","0.00"
"18","BROOKLYN","0","0","0.00","0","0","0.00","0","0","0.00"
"19","BROOKLYN","0","0","0.00","1","1,000","116.52","0","0","0.00"
"20*","BROOKLYN","8","4,229","250.29","1","640","25.90","0","0","0.00"
"21","BROOKLYN","2","924","151.96","0","0","0.00","0","0","0.00"
"22","BROOKLYN","1","416","58.08","0","0","0.00","0","0","0.00"
"23","BROOKLYN","0","0","0.00","0","0","0.00","0","0","0.00"
"32","BROOKLYN","0","0","0.00","0","0","0.00","0","0","0.00"
"KHS","BROOKLYN","0","0","0.00","0","0","0.00","0","0","0.00"
"24*","QUEENS","5","2,604","326.52","3","2,097","235.90","0","0","0.00"
"25","QUEENS","3","1,654","177.16","1","410","3.47","0","0","0.00"
"26*","QUEENS","2","924","98.84","0","0","0.00","0","0","0.00"
"27*","QUEENS","3","972","144.09","0","0","0.00","0","0","0.00"
"28*","QUEENS","5","1,920","205.22","0","0","0.00","0","0","0.00"
"29","QUEENS","0","0","0.00","0","0","0.00","0","0","0.00"
"30*","QUEENS","4","2,096","290.00","3","2,261","82.27","0","0","0.00"
"QHS*","QUEENS","0","0","0.00","0","0","0.00","5","3,595","311.00"
"31*","STATEN ISLAND","3","1,428","134.47","1","309","15.13","0","0","0.00"
"RHS","STATEN ISLAND","0","0","0.00","0","0","0.00","1","345","101.04"
